,dilutedNIAvailtoComStockholders,grossProfit,netIncome,totalExpenses,totalRevenue,basicEPS,cashEquivalents,currentAssets,currentDebt,netDebt,totalCapitalization,totalDebt,totalAssets,tangibleBookValue,shareIssued,freeCashFlow,high,low,open,close,volume,adjclose,Company,marketCap,priceToEarningsRatio,priceToBook
2022-03-31,25010000000.0,42559000000.0,25010000000.0,67299000000.0,97278000000.0,1.54,13800000000.0,118180000000.0,16658000000.0,91883000000.0,170722000000.0,119981000000.0,350662000000.0,67399000000.0,16207568000.0,25652000000.0,178.02999877929688,174.39999389648438,177.83999633789062,174.61000061035156,103049300,173.55865478515625,AAPL,2882353833766.1133,115.48051710252638,1.93550489576843e-09
2022-06-30,19442000000.0,35885000000.0,19442000000.0,59883000000.0,82959000000.0,1.2,14650000000.0,112292000000.0,24991000000.0,92189000000.0,152807000000.0,119691000000.0,336309000000.0,58107000000.0,16095378000.0,20790000000.0,138.3699951171875,133.77000427246094,137.25,136.72000122070312,98964500,136.09645080566406,AAPL,2209090630500.0,114.375,1.488789334953194e-09
2022-09-30,20721000000.0,38095000000.0,20721000000.0,65252000000.0,90146000000.0,1.29,5100000000.0,135405000000.0,21110000000.0,96423000000.0,149631000000.0,120069000000.0,352755000000.0,50672000000.0,15943425000.0,20838000000.0,143.10000610351562,138.0,141.27999877929688,138.1999969482422,124925300,137.76077270507812,AAPL,2252487064537.8115,109.51937889867975,1.4652105698774865e-09
2022-12-31,95171000000.0,166871000000.0,95171000000.0,81138000000.0,387537000000.0,1.89,2627000000.0,128777000000.0,11483000000.0,90575000000.0,156354000000.0,111110000000.0,346747000000.0,56727000000.0,15842407000.0,30218000000.0,129.9499969482422,127.43000030517578,128.41000366210938,129.92999267578125,77034200,129.73191833496094,AAPL,2034323540886.6272,67.94180087942296,1.4177201618781051e-09
2022-03-31,16436000000.0,38412000000.0,16436000000.0,47917000000.0,68011000000.0,1.245001,,177853000000.0,,,266851000000.0,28421000000.0,357096000000.0,229681000000.0,13175260000.0,15320000000.0,142.64450073242188,139.61900329589844,142.44850158691406,139.64950561523438,29516000,139.64950561523438,GOOG,1876796045018.0054,114.41637523738058,
2022-06-30,17074000000.0,39581000000.0,16002000000.0,50232000000.0,69685000000.0,1.220001,,172371000000.0,,,268269000000.0,28728000000.0,355185000000.0,230093000000.0,13078000000.0,12594000000.0,111.32980346679688,107.30999755859375,110.49949645996094,109.37249755859375,38046000,109.37249755859375,GOOG,1445112414703.3691,90.57328351367003,
2022-09-30,13910000000.0,37934000000.0,13910000000.0,51957000000.0,69092000000.0,1.07,,166109000000.0,,,266480000000.0,28922000000.0,358255000000.0,222600000000.0,12971000000.0,16077000000.0,99.49400329589844,96.02999877929688,97.7300033569336,96.1500015258789,26277800,96.1500015258789,GOOG,1267655873542.7856,91.33645173545194,
2022-12-31,59972000000.0,40706000000.0,13624000000.0,207994000000.0,76048000000.0,1.06,,164795000000.0,,,269001000000.0,29679000000.0,365264000000.0,225100000000.0,12849000000.0,16019000000.0,88.83000183105469,87.02999877929688,87.36499786376953,88.7300033569336,19190300,88.7300033569336,GOOG,1122552857551.5747,82.41980930544295,
2022-03-31,-3844000000.0,14832000000.0,-3844000000.0,112775000000.0,116444000000.0,-0.378,,133876000000.0,,11163000000.0,181557000000.0,113287000000.0,410767000000.0,113772000000.0,10660000000.0,-17741000000.0,166.4949951171875,162.95350646972656,166.44500732421875,162.99749755859375,59966000,162.99749755859375,AMZN,1774303778076.1719,-440.3307072069279,1.49104190024383e-08
2022-06-30,-2028000000.0,16396000000.0,-2028000000.0,117917000000.0,121234000000.0,-0.2,,133667000000.0,,20575000000.0,189455000000.0,124577000000.0,419728000000.0,111207000000.0,10699000000.0,-6759000000.0,108.18000030517578,102.5199966430664,108.11000061035156,106.20999908447266,97679400,106.20999908447266,AMZN,1156668896530.1514,-540.5500030517578,5.254435023589384e-09
2022-09-30,2872000000.0,16765000000.0,2872000000.0,124576000000.0,127101000000.0,0.28,,131463000000.0,,23972000000.0,196408000000.0,128251000000.0,428362000000.0,117321000000.0,10714000000.0,-4974000000.0,116.91999816894531,112.83999633789062,114.08000183105469,113.0,59479600,113.0,AMZN,1222253139617.92,407.4285779680524,4.758885442643696e-09
2022-12-31,278000000.0,67640000000.0,-2722000000.0,501735000000.0,513983000000.0,0.03,,146791000000.0,,13262000000.0,213193000000.0,140118000000.0,462675000000.0,125755000000.0,10757000000.0,-16893000000.0,84.05000305175781,82.47000122070312,83.12000274658203,84.0,62401200,84.0,AMZN,894121869544.9829,2770.6667582194013,6.267531499516064e-09
2022-12-31,4514000000.0,,4514000000.0,24293000000.0,35118000000.0,,,19936000000.0,1236000000.0,5093000000.0,39630000000.0,14365000000.0,67407000000.0,24533000000.0,1337577913.0,3445000000.0,12.829999923706055,12.529999732971191,12.550000190734863,12.720000267028809,19002800,12.720000267028809,AAL,16786603063.27274,,2.464166540493788e-09
2022-06-30,,,,,,,,19495000000.0,1306000000.0,3289000000.0,39771000000.0,13287000000.0,66661000000.0,25702000000.0,1337577913.0,,12.880000114440918,12.25,12.600000381469727,12.680000305175781,37521400,12.680000305175781,AAL,16853482214.04548,,3.830951773022112e-09
2022-03-31,,,,,,,,,,,,,,,,,18.450000762939453,17.979999542236328,18.15999984741211,18.25,33338200,18.25,AAL,,,
2022-09-30,,,,,,,,,,,,,,,,,12.399999618530273,12.010000228881836,12.130000114440918,12.039999961853027,30111400,12.039999961853027,AAL,,,
